experiment,prediction_idx,euclidean_px,angular_deg
Heatmap (ResNet-18),35,19.1116,5.7981
Heatmap (ResNet-18),36,14.3922,6.8243
Heatmap (ResNet-18),37,24.0736,4.1069
Heatmap (ResNet-18),38,29.4424,5.1374
Heatmap (ResNet-18),39,24.6741,3.745
Heatmap (ResNet-18),40,109.7503,38.7302
Heatmap (ResNet-18),41,109.9291,0.0661
Heatmap (ResNet-18),42,110.5858,38.0099
Heatmap (ResNet-18),43,98.525,0.4389
Heatmap (ResNet-18),44,120.6711,37.3785
Heatmap (ResNet-18),45,105.5481,0.4739
Heatmap (ResNet-18),46,110.124,37.2889
Heatmap (ResNet-18),47,95.5523,0.2723
Heatmap (ResNet-18),48,98.4009,34.9423
Heatmap (ResNet-18),49,94.1438,2.2893
Heatmap (ResNet-18),50,84.2562,32.9951
Heatmap (ResNet-18),51,112.584,8.5113
Heatmap (ResNet-18),52,65.746,38.5458
Heatmap (ResNet-18),53,186.4339,18.1454
Heatmap (ResNet-18),54,93.0243,39.0937
Heatmap (ResNet-18),55,156.5498,21.5718
Heatmap (ResNet-18),56,103.007,20.3333
Heatmap (ResNet-18),57,41.3403,41.6433
Heatmap (ResNet-18),58,90.1184,20.6426
Heatmap (ResNet-18),59,115.2032,54.1116
Heatmap (ResNet-18),60,156.589,12.5038
Heatmap (ResNet-18),61,143.9982,27.5338
Heatmap (ResNet-18),62,160.7848,13.5228
Heatmap (ResNet-18),63,154.945,27.5078
Heatmap (ResNet-18),64,165.3064,16.2143
Heatmap (ResNet-18),65,172.603,27.8929
Heatmap (ResNet-18),66,186.781,18.6332
Heatmap (ResNet-18),67,180.44,27.127
Heatmap (ResNet-18),68,204.9065,20.4403
Heatmap (ResNet-18),69,183.9791,28.2854
Heatmap (ResNet-18),70,238.0008,25.209
Heatmap (ResNet-18),71,185.302,28.6107
Heatmap (ResNet-18),72,254.5933,26.7701
Heatmap (ResNet-18),73,151.5748,32.4707
Heatmap (ResNet-18),74,238.1804,27.665
Heatmap (ResNet-18),75,111.0295,41.1974
Heatmap (ResNet-18),76,33.4744,22.4402
Heatmap (ResNet-18),77,94.2119,34.6753
Heatmap (ResNet-18),78,29.7017,23.2178
Heatmap (ResNet-18),79,107.274,29.3218
Heatmap (ResNet-18),80,60.1467,12.5719
Heatmap (ResNet-18),81,164.5303,27.2928
